IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
190.93.244.118,4,4,0.00,39.36,13.51
141.101.114.179,4,4,0.00,78.44,13.47
104.17.138.137,4,4,0.00,37.74,13.35
104.18.144.43,4,4,0.00,77.74,13.17
172.64.146.118,4,4,0.00,37.02,12.88
104.17.132.211,4,4,0.00,37.21,11.61
104.17.135.179,4,4,0.00,78.75,11.44
104.16.10.54,4,4,0.00,67.61,11.19
162.159.34.90,4,4,0.00,71.04,11.00
162.159.60.24,4,4,0.00,45.70,6.68
